mes,intercepto,coef_x1,coef_x2,coef_x3,mse,num_picos_positivos,num_picos_negativos,cluster,delta_mse,delta_picos_pos,delta_picos_neg
2006-12,19.940625144614764,-0.0481566481113724,0.0003363527067653,-4.357333666352293e-07,289.2027589567026,1,0,0,289.22503728181687,1.2611164839335467,0.14744195615489714
2007-01,20.861076848929848,-0.0679300846120626,0.0002059007805175,-1.771411123520307e-07,194.41440256184308,0,0,1,0.0,0.0,0.0
2007-02,17.638859740858482,-0.050888902657687,0.0002490240513926,-3.1844775046885295e-07,185.0501906129724,0,0,1,0.0,0.0,0.0
2007-03,2.49005741130212,0.0912344110995917,-0.0002389330809252,1.886318363152075e-07,140.2347120074868,0,0,1,0.0,0.0,0.0
2007-04,12.404670632017536,-0.0362917517349005,7.784074122918076e-05,-5.302089510952673e-08,69.0300890377015,0,0,1,0.0,0.0,0.0
2007-05,8.048421592078242,-0.0024855061164832,6.589361665506024e-06,-3.506653264828338e-09,55.82281415706114,1,0,0,55.84509248217542,1.2611164839335467,0.14744195615489714
2007-06,7.003896294263764,0.0139129823232929,-7.378008494333953e-05,7.653718181900342e-08,41.46322175864401,0,0,1,0.0,0.0,0.0
2007-07,6.165586937771186,-0.0071444991844195,2.4335654891331292e-05,-2.4690899379618174e-08,29.90805626425786,0,0,1,0.0,0.0,0.0
2007-08,5.913518928006637,-0.002146735100953,-1.5675431776090487e-06,9.06735259285675e-09,45.20771846482776,0,0,1,0.0,0.0,0.0
2007-09,8.1619360619254,-0.0054678231750768,-2.9890237916088504e-06,2.4366034472532555e-08,77.85686920617596,0,0,1,0.0,0.0,0.0
2007-10,9.926317331187583,-0.0167615885120915,9.775774808452474e-05,-1.1658880216817557e-07,91.462793323494,0,0,1,0.0,0.0,0.0
2007-11,2.302014960081572,0.0942980400197734,-0.0002381548614774,1.7853555516792288e-07,129.6863537809786,0,0,1,0.0,0.0,0.0
2007-12,17.028302037463806,-0.0332031654688451,9.486429697044967e-05,-6.516054427568626e-08,187.0323178852824,0,0,1,0.0,0.0,0.0
2008-01,13.276465872700426,0.0067760472918418,-2.030943353475032e-05,2.4251985160196012e-08,156.17663598503964,0,0,1,0.0,0.0,0.0
2008-02,12.865745116344076,-0.0016931487665822,3.112488983590613e-05,-7.190382746243741e-08,126.30025926282138,0,0,1,0.0,0.0,0.0
2008-03,8.900951184608129,0.0474246282683171,-0.0001629248650589,1.4393659998934584e-07,106.04809767014054,0,0,1,0.0,0.0,0.0
2008-04,7.746754791198894,0.0279317367895592,-8.566062945930723e-05,6.456579047736252e-08,73.11080879157518,0,0,1,0.0,0.0,0.0
2008-05,6.254592039948708,0.0332597477457671,-0.0001049897814508,8.544493178478534e-08,58.86907591623153,0,0,1,0.0,0.0,0.0
2008-06,9.14059579517386,-0.019993673259817,5.208862925218648e-05,-4.4481851318666464e-08,46.48418902878087,0,0,1,0.0,0.0,0.0
2008-07,4.577963384065685,0.0238805924779006,-8.406487097117759e-05,7.916320864197309e-08,30.346166736100106,0,0,1,0.0,0.0,0.0
2008-08,3.723648142655235,-0.0038021892460258,-1.4998573210037974e-05,2.619043519085895e-08,6.385218545013494,0,0,1,0.0,0.0,0.0
2008-09,5.002780253066912,0.0240377853937761,-7.258761753939428e-05,6.990503274764574e-08,69.37368854469042,0,0,1,0.0,0.0,0.0
2008-10,8.442835060923116,0.016468013353036,-2.5275865786866504e-05,4.349969664222848e-09,91.133414426758,0,0,1,0.0,0.0,0.0
2008-11,7.98611422454786,0.0402843698148682,-8.360874748141138e-05,6.372842463356691e-08,140.00728788135348,0,0,1,0.0,0.0,0.0
2008-12,11.96070646427439,0.0135027040651906,-3.885706692296151e-05,2.569439115236688e-08,114.80099015555037,0,0,1,0.0,0.0,0.0
2009-01,10.360944004766072,0.019578445043615,-5.360161567237784e-05,4.9149748568503566e-08,120.9852094011136,0,0,1,0.0,0.0,0.0
2009-02,10.956495174721088,0.0154548549114991,-6.965280258027216e-05,7.047200351346835e-08,92.12706770913589,0,0,1,0.0,0.0,0.0
2009-03,11.44921470091491,0.0016083530932928,-3.147900658909021e-05,4.1865683359899343e-08,85.3977624417324,0,0,1,0.0,0.0,0.0
2009-04,8.767335097735826,0.0086261689453749,-3.011446191971261e-05,2.9330374263898103e-08,60.48030296267324,0,0,1,0.0,0.0,0.0
2009-05,8.002023770256326,0.007116430313833,-2.663955811239677e-05,2.020189223501884e-08,42.84389834447287,0,1,3,42.86617666958715,0.2611164839335467,1.1474419561548972
2009-06,5.060046679695729,0.0249385624134314,-9.31804198045506e-05,8.715866424774532e-08,28.87567710384277,0,0,1,0.0,0.0,0.0
2009-07,6.675141033040013,-0.0096630292415644,1.192984526681158e-05,-5.338083836296069e-09,18.612113976696623,0,0,1,0.0,0.0,0.0
2009-08,1.757880766774099,0.0192543724220873,-3.751080423684247e-05,2.9203282934032973e-08,23.02217378824076,0,0,1,0.0,0.0,0.0
2009-09,5.616483983337053,0.0069277777097935,5.114413784853313e-06,-1.7947917984244532e-08,59.671312620584345,0,0,1,0.0,0.0,0.0
2009-10,6.15521904659964,0.0197489489405658,-3.2071506149532766e-05,1.6746389564730632e-08,83.27864428417419,0,0,1,0.0,0.0,0.0
2009-11,11.412555951048372,-0.0159644406667492,6.355012217935227e-05,-6.2209281428169e-08,89.86615230720932,0,0,1,0.0,0.0,0.0
2009-12,11.463895639118023,0.014124833800707,-7.178789000978296e-05,7.939704141947996e-08,97.62808694824032,0,0,1,0.0,0.0,0.0
2010-01,8.56639654428421,0.0301322384184411,-6.198843077691909e-05,3.627991504821144e-08,97.02735880412337,0,0,1,0.0,0.0,0.0
2010-02,8.67230170885469,0.0317578031842678,-0.0001050030403753,8.742029811119885e-08,74.7146075778522,0,0,1,0.0,0.0,0.0
2010-03,5.503755670261638,0.0284938425774874,-5.922172967424179e-05,3.81495661034613e-08,49.33479584784593,0,0,1,0.0,0.0,0.0
2010-04,8.808749671138052,-0.010856597483541,3.310713355267056e-05,-3.224034786980913e-08,35.847187007276226,0,0,1,0.0,0.0,0.0
2010-05,6.304669944568632,0.0196431807431022,-5.295563493880278e-05,3.880101515418383e-08,33.09293979271531,0,0,1,0.0,0.0,0.0
2010-06,3.6614385341529694,0.0382157841620303,-0.0001301633788682,1.2327104696126405e-07,25.67416614387916,0,0,1,0.0,0.0,0.0
2010-07,9.220854975523563,-0.0222673684915694,6.896696020740467e-05,-6.927103281815616e-08,31.707701538451403,0,0,1,0.0,0.0,0.0
2010-08,3.123141623306947,-0.010280568474089,8.107372490079246e-05,-8.44781902691424e-08,15.29969285469173,1,0,0,15.321971179806008,1.2611164839335467,0.14744195615489714
2010-09,6.294115151053962,0.0213843271311034,-9.625199830242433e-05,1.1178734847698425e-07,45.12251577047876,0,0,1,0.0,0.0,0.0
2010-10,7.480581818649566,-0.105827124312719,0.0054944892148157,-4.181951225455183e-05,55.40158268615768,0,0,2,55.42386101127196,0.2611164839335467,0.14744195615489714
