mes,metodo,alpha_opt,iters,f_obj,lambda,mu_usado,max_before,max_after,max_reduction_%,max_peak_before,max_peak_after,max_peak_reduction_%,energy_before,energy_after,energy_diff_%
2006-12,Newton-Raphson,0.0,2,2877.5328746161354,1.804859687279358,0.001,5.5624666666666664,5.5624666666666664,0.0,5.035333333333333,5.035333333333333,0.0,698.8025888888889,698.8025888888889,0.0
2007-01,Newton-Raphson,0.11358525862886562,2,3989.4528748559724,1.804859687279358,0.0005,6.0765666666666664,5.883586335816754,3.17581195823155,6.0765666666666664,5.386358270257789,11.358525862886566,1150.2882666666667,1150.2882666666667,0.0
2007-02,Punto Fijo,0.19973794304633716,10,3224.301436964115,1.804859687279358,0.0005,6.363866666666667,5.189043889057823,18.460832684670386,6.363866666666667,5.0927610288455165,19.973794304633714,941.6138,941.6137999999999,-1.2073616351163931e-14
2007-03,Newton-Raphson,0.26798734402744334,2,2985.2739523278037,1.804859687279358,0.0005,5.644900000000001,5.326562213055231,5.639387534673234,5.644900000000001,4.132138241699486,26.798734402744333,981.0453500000001,981.0453499999999,-2.3176673274403882e-14
2007-04,Newton-Raphson,0.3105248558059357,2,1386.4741551171085,1.804859687279358,0.001,4.752633333333334,4.350617381545952,8.45880427946714,4.752633333333334,3.2768225528015167,31.05248558059357,608.8198666666667,608.8198666666667,0.0
2007-05,Punto Fijo,0.2092133583931559,18,1737.9716891395417,1.804859687279358,0.001,4.719133333333334,4.808867440994826,-1.901495493413172,4.474733333333333,3.538559344752865,20.921335839315592,733.4812,733.4812,0.0
2007-06,Newton-Raphson,0.2686449310791203,2,1317.769375310339,1.804859687279358,0.000125,4.597966666666666,4.083396852106678,11.19124717215555,4.597966666666666,3.362746228395907,26.864493107912033,595.56885,595.56885,0.0
2007-07,Newton-Raphson,0.2852127379082286,2,911.3863428302183,1.804859687279358,0.001,4.272233333333333,4.031806230205239,5.6276678816253956,4.272233333333333,3.0537379673505356,28.521273790822857,497.2479666666667,497.2479666666667,0.0
2007-08,Punto Fijo,0.133864172616349,26,1350.491358739461,1.804859687279358,3.125e-05,4.6344,4.664755761755073,-0.6550095320877025,3.2391333333333336,2.8055294296726303,13.386417261634902,568.6765833333334,568.6765833333334,0.0
2007-09,Punto Fijo,0.32095380565508447,76,1635.0507352366305,1.804859687279358,0.0005,5.735766666666667,3.894850526650422,32.09538056550844,5.735766666666667,3.894850526650422,32.09538056550844,698.0307,698.0307,0.0
2007-10,Newton-Raphson,0.24465964393908846,2,2233.7063191548664,1.804859687279358,0.0005,5.0948,4.627157106812652,9.178827298173601,5.0948,3.8483080460591323,24.465964393908845,821.3569,821.3569,0.0
2007-11,Newton-Raphson,0.19631920882269607,2,2853.0109458609077,1.804859687279358,0.0005,4.912366666666667,5.023952863227753,-2.2715363923923753,4.759833333333333,3.825386619205437,19.6319208822696,932.0349333333334,932.0349333333334,0.0
2007-12,Newton-Raphson,0.09028587821065073,2,4492.926457228417,1.804859687279358,0.0005,6.4879999999999995,6.390621670940434,1.500899029894657,6.4879999999999995,5.902225222169298,9.028587821065072,1210.0933333333332,1210.0933333333332,0.0
2008-01,Newton-Raphson,0.1350550967447089,2,3464.094603725086,1.804859687279358,0.00025,6.0138,5.320364000211871,11.53074594745633,6.0138,5.2016056591966695,13.50550967447089,1086.2305166666667,1086.2305166666665,-2.093235937993874e-14
2008-02,Punto Fijo,0.27504616210819405,9,2301.037928226144,1.804859687279358,0.00025,6.496033333333333,4.709324296073101,27.504616210819407,6.496033333333333,4.709324296073101,27.504616210819407,822.3008166666666,822.3008166666666,0.0
2008-03,Punto Fijo,0.1748692904390432,7,2654.5389388178974,1.804859687279358,0.0005,5.014166666666667,4.866057553737956,2.9538131213969394,5.014166666666667,4.137342899523564,17.486929043904322,926.5365999999999,926.5365999999999,0.0
2008-04,Punto Fijo,0.14567600555290755,24,2270.527051668234,1.804859687279358,0.001,5.6713000000000005,5.720260014344772,-0.8632943830298468,5.6713000000000005,4.845127669707796,14.567600555290758,803.4998666666665,803.4998666666667,1.4148955393514612e-14
2008-05,Punto Fijo,0.043824350773285344,6,1919.5607979188055,1.804859687279358,0.001,4.466466666666666,4.270726664749479,4.382435077328547,4.466466666666666,4.270726664749479,4.382435077328547,762.0812333333333,762.0812333333333,0.0
2008-06,Newton-Raphson,0.17153241435295344,2,1656.8718652138964,1.804859687279358,7.8125e-06,4.2955000000000005,4.3663122119158935,-1.6485208221602357,3.731933333333333,3.0917857984624013,17.153241435295335,715.7448333333334,715.7448333333333,-1.588371056653794e-14
2008-07,Newton-Raphson,0.14271887890385085,2,1088.7562458267826,1.804859687279358,0.001,3.9929333333333332,4.037748781689516,-1.1223690609121895,3.8391666666666664,3.291245104074966,14.271887890385079,591.3049666666667,591.3049666666666,-1.9226430375259157e-14
2008-08,Newton-Raphson,0.4629424472783895,2,196.3166184218333,1.804859687279358,0.001,3.178733333333333,2.930114393270801,7.821321073253464,3.178733333333333,1.7071627447546072,46.29424472783896,205.73795,205.73795,0.0
2008-09,Newton-Raphson,0.23330708884045728,2,1545.7545482057512,1.804859687279358,0.0005,4.2912333333333335,3.681870929296392,14.200169431560662,4.2912333333333335,3.290058176798202,23.330708884045723,711.1298666666667,711.1298666666667,0.0
2008-10,Newton-Raphson,0.24425460646970248,2,2181.0099731812043,1.804859687279358,0.0005,5.759066666666667,5.878117992988668,-2.067198266883544,5.356866666666666,4.048427307089333,24.425460646970244,846.1872833333333,846.1872833333333,0.0
2008-11,Punto Fijo,0.18844029206483878,16,3114.7494237589553,1.804859687279358,0.000125,6.560533333333334,6.671437024093864,-1.6904676056905446,6.310566666666667,5.121401640905364,18.844029206483885,998.95025,998.9502499999999,-1.1380630589122534e-14
2008-12,Punto Fijo,0.09604466793830758,167,2691.273827501846,1.804859687279358,6.103515625e-08,4.6615,4.709701296656866,-1.0340297470098874,4.178966666666667,3.7775992008414105,9.60446679383076,949.4913666666666,949.4913666666666,0.0
